Título,Calificación,Géneros,Duración,Clasificación por edades,Director,Año,Reparto
Shrek,87%  7.9 (684k),"Fantasía, Animación, Comedia, Familia, Romance",1h 30min,,"Vicky Jenson ,  Andrew Adamson",(2001),", Mike Myers, Eddie Murphy, Cameron Diaz, John Lithgow, Vincent Cassel, Peter Dennis, Clive Pearse, Jim Cummings, Bobby Block, Chris Miller, Cody Cameron, Kathleen Freeman, Michael Galasso, Christopher Knights, Simon J. Smith, Conrad Vernon, Jacquie Barnbrook, Guillaume Aretos, John Bisom, Matthew Gonder, Calvin Remsberg, Jean-Paul Vignon, Val Bettin, Andrew Adamson, Jack Angel, Bob Bergen, Rodger Bumpass, Patty Cornell, Aleksandar Cvjetkovic, Charles Dennis, Paul Eiding, Bill Farmer, Susan Fitzer, Elisa Gabrielli, Gary A. Hecker, Richard Steven Horvitz, Phillip Ingram, Carole Jeghers, Mickie McGowan, Phil Proctor, Frank Welker, Patrick Pinney"
Super Dark Times,72%  6.6 (22k),"Drama, Misterio & Suspense, Crimen, Terror",1h 43min,,Kevin Phillips,(2017),", Owen Campbell, Charlie Tahan, Elizabeth Cappuccino, Max Talisman, Sawyer Barth, Amy Hargreaves, Adea Lennox, Ethan Botwick, Philip H. Ashley, Justin Rose, Hayden Oliver, Dario Saraceno, Anni Krueger, Samantha Jones"
The Haunting,59%  5.0 (77k),"Fantasía, Misterio & Suspense, Terror",1h 53min,13,Jan de Bont,(1999),", Liam Neeson, Lili Taylor, Catherine Zeta-Jones, Owen Wilson, Bruce Dern, Marian Seldes, Alix Koromzay, Todd Field, Virginia Madsen, Michael Cavanaugh, Tom Irwin, Charles Gunning, Saul Priever, M.C. Gainey, Hadley Eure, Kadina de Elejalde, Alessandra Benjamin, Karen S. Gregan, Brandon Jarrett, Mary McNeal, William Minkin, Debi Derryberry, Jessica Evans, Sherry Lynn, Miles Marsico, Courtland Mead, Kelsey Mulrooney, Kyle McDougle, Hannah Swanson, Travis Tedford"
Where Hope Grows,73%  6.6 (3k),"Drama, Familia",1h 35min,12,Chris Dowling,(2015),", Danica McKellar, William Zabka, Kerr Smith, McKaley Miller, Kristoffer Polaha, Brooke Burns, David DeSanctis, Michael Grant, Clyde Jones, Alan Powell, Drew Cash, J. Teddy Garces, Chase Anderson, Sonya Thaper, Michelle J. Fine, Robert Johnson"
The Limehouse Golem,69%  6.3 (22k),"Misterio & Suspense, Crimen",1h 49min,16,Juan Carlos Medina,(2017),", Bill Nighy, Olivia Cooke, Douglas Booth, Daniel Mays, Sam Reid, María Valverde, Eddie Marsan, Henry Goodman, Morgan Watkins, Adam Brown, Peter Sullivan, Damien Thomas, Siobhán Cullen, Levi Heaton, Clive Brunt, Edythe Woolley, Anita Breheny, Amelia Crouch, Simon Meacock, Paul Ritter, David Bamber, Ben Moor, Michael Jenn, Daniel Cerqueira, Patrick Durham, Nicholas Woodeson, Mark Tandy, Neal Barry, Keeley Forsyth, Josef Davies, Graham Hughes, Lauren Kinsella, Joseph Palmer, Roger Morlidge, Christina Tam, Clive Russell, Paul Antony-Barber, Charlie May-Clark, Louisa-May Parker, Michael Barron, Nigel Black, Craig Carr, Graham Cheadle, Gary Davies, Steve Healey, Craig Thomas Lambert, David Macey, Jack Parr, Tom Raven, Nig Richards, Bryan Samson, Jake Sanson, Olesja Sidorovich, Baz Stone, Ian White"
Ottolenghi and the Cakes of Versailles,75%  6.0,Documental,1h 15min,,Laura Gabbert,(2020),", Yotam Ottolenghi"
You Cannot Kill David Arquette,74%  7.2 (2k),"Documental, Deporte",1h 31min,,David Darg,(2020),", David Arquette, Richmond Arquette, Patricia Arquette, Karen Yu, Kevin Nash, Page Falkinburg Jr., Julian Micevski, Jack Perry, Courteney Cox, Ric Flair, Christina McLarty Arquette, Coco Arquette, Jerry Lawler, Scott Hall, Booker Huffman, Joseph Ryan Meehan, Ken Anderson, Monty Sopp, Rob Strauss, Noah Nelms, Rick Knox, Eric Bischoff, Garett Bischoff, Timothy Moura, Nate Blauvelt, Brett Giehl﻿, Brian Yandrisovitz, Jerome Saganovich, Vince Russo, Bill Goldberg, Chris Irvine, Lewis Arquette, Jeff Jarrett, Brian Zane, Dusty Rhodes, Mr. T, Chris Klucsarits, Nicholas W. Wilson, Brian Zachary Pillman, Jim Cornette, Mike Awesome, Elizabeth Hulette, Kurt Russell, Conan O'Brien, Erik Hodsen, John Twomey, Jerome Young, Rick Kelly, Randy Poffo, André Roussimoff, Tony Schiavone, Rosanna Arquette, Jerry Kubik, Hulk Hogan, Peter Hernandez, Cody Croslin, RJ Skinner, Brendan Creccy, Mark LoMonaco, Jim Fullington, Mick Foley, Billy Corgan, James Ellsworth Morris, George Murdoch, Maxwell Jacob Friedman, David Penzer, Scott Colton, Luke Perry, Oprah Winfrey, Wendy Williams, Jay Leno, Ellen DeGeneres, Aurelian Smith Jr., Joe Rogan, Harvey Levin"
Spree,64%  5.5,"Crimen, Terror, Drama, Misterio & Suspense",1h 10min,,Henry Chastain,(2015),", Connor Maginnis, Cyrus Westerlund, Noah Dean Davenport, Brett Fike, Greg Rice, John Esler Vansant, Colette Zaborniak, Justin Woods, Silas Finley"
The Evil in Us,54%  4.8 (4k),Terror,1h 31min,,Jason William Lee,(2017),", Tatyana Forrest, Debs Howard, Ian Collins, Behtash Fazlali, Marina Pasqua, Jason William Lee, Lee Tomaschefski, Kylee Bush, Amanda Cryer, Darren Andrichuk, Danny Zaporozan, Chris Allen, Lukas Gyori, John Gillich, Becky Hachey, Jerome Velinsky, Tirra Dent, Moishe Teichman, Gabriel Carter, Bradley Duffy, Dayleigh Nelson, Dalj Brar, David Aboussafy, Christine Mettcalfe, Darrell Berg, Michael Gyori, Jon Funk, Dayah Brar, Matthew Mihaichuk, Dawn Williamson"
The Secret Garden,36%,"Animación, Familia",1h 8min,,Dave Edwards,(1994),", Honor Blackman, Derek Jacobi, Glynis Johns, Anndi McAfee"
