Título,Calificación,Géneros,Duración,Clasificación por edades,Director,Año,Reparto
Night of the Living Dead,76%  6.8 (43k),"Terror, Misterio & Suspense",1h 28min,18,Tom Savini,(1990),", Tony Todd, Patricia Tallman, McKee Anderson, Bill Moseley, Heather Mazur, Tom Towles, William Butler, Pat Reese, Katie Finneran, Stacie Foster, David W. Butler, Zachary Mott, William Cameron, Pat Logan, Berle Ellis, Bill Cardille, Greg Funk, Rik Billock, Don Brockett, Earl Ellis, Tim Carrier, John Hamilton, Dyrk Ashton, Jordan Berlant, Albert Shellhammer, Jay McDowell, Kendal Kraft, George Cameron Romero, Charles Crawley, George A. Romero, Taso N. Stavrakis, Russell Streiner, Tom Savini"
Half Magic,56%  4.7 (1k),"Comedia, Romance",1h 34min,,Heather Graham,(2018),", Heather Graham, Angela Kinsey, Stephanie Beatriz, Jason Lewis, Thomas Lennon, Chris D'Elia, Molly Shannon, Johnny Knoxville, Luke Arnold, David Banks, Lee Raviv, Bob Rumnock, Guyviaud Joseph, Jesse Heiman, Chelsea Mark"
Tragedy Girls,66%  6.0 (9k),"Terror, Comedia, Crimen",1h 38min,,Tyler MacIntyre,(2017),", Brianna Hildebrand, Alexandra Shipp, Jack Quaid, Kevin Durand, Timothy V. Murphy, Nicky Whelan, Elise Neal, Craig Robinson, Keith Hudson, Josh Hutcherson, Savannah Jayde, Austin Abrams, William Tokarsky, Marycarmen Lopez, Rosalind Chao, Kerry Rhodes, Jerry Peek"
Thelma,76%  7.0 (33k),"Misterio & Suspense, Drama, Ciencia ficción, Fantasía, Terror, Romance, Europeas",1h 56min,12,Joachim Trier,(2017),", Eili Harboe, Kaya Wilkins, Henrik Rafaelsen, Ellen Dorrit Petersen, Grethe Eltervåg, Marte Magnusdotter Solem, Anders Mossling, Vanessa Borgli, Steinar Klouman Hallert, Ingrid Unnur Giæver, Oskar Pask, Gorm Grømer, Camilla Belsvik, Martha Kjørven, Ingrid Jørgensen Dragland, Lars Berge, Vibeke Lundquist, Sigve Bøe, Isabel Christine Andreasen, Tom Louis Lindstrøm, Irina Eidsvold Tøien, Ludvig Algeback, Ian Twedmark, Vidar Fransson, Tommy Larsson"
Hello I Must Be Going,67%  6.2 (6k),"Comedia, Romance, Drama",1h 35min,,Todd Louiso,(2013),", Melanie Lynskey, Blythe Danner, John Rubinstein, Sara Chase, Daniel Eric Gold, Tori Feinstein, Dave T. Koenig, Greta Lee, Meera Simhan, Julie White, Damian Young, Christopher Abbott, Jimmi Simpson, Eli Koskoff, Kate Arrington, Darcy Hicks, Dan Futterman, Andrea Bordeaux"
28 Hotel Rooms,64%  5.7 (3k),"Drama, Romance",1h 22min,,Matt Ross,(2012),", Chris Messina, Marin Ireland, Robert Deamer, Anne H. Wilson, Yaitza Rivera, Paul Day, Marine Buton, Matthew L. Oliva, Brett Collier, Justin Stevenson, Brandon Dexter, Courtney Krings, Jomar Gomez"
Monogamy,49%  5.0,"Drama, Romance",1h 34min,,Dana Adam Shapiro,(2010),", Chris Messina, Rashida Jones, Meital Dohan, Zak Orth, Ivan Martin, Madison Arnold, Sarah Burns, Hannah Gilli, Neal Huff, Adam Pally"
Overdrive,64%  5.3 (15k),"Acción & Aventura, Misterio & Suspense, Crimen, Europeas",1h 36min,12,Antonio Negret,(2017),", Scott Eastwood, Freddie Thorp, Ana de Armas, Gaia Weiss, Clemens Schick, Simon Abkarian, Moussa Maaskri, Frédéric Anscombre, Magne-Håvard Brekke, Abraham Belaga, Kaaris, Mars Bezot, Anaïs Monory, Pierre-Marie Mosconi, Joshua Fitoussi, Lester Makedonsky, Fabian Wolfrom"
Bad Company,62%  5.6 (48k),"Misterio & Suspense, Acción & Aventura, Comedia, Europeas",1h 56min,13,Joel Schumacher,(2002),", Anthony Hopkins, Chris Rock, Gabriel Macht, Peter Stormare, John Slattery, Kerry Washington, Garcelle Beauvais, Brooke Smith, Irma P. Hall, Matthew Marsh, Deborah Rush, Daniel Sunjata, John Aylward, Dragan Mićanović, T.J. Cross, Michael Ealy, Adoni Maropis, DeVone Lawson Jr., Wills Robbins, Marek Vašut, Majed Ibrahim, Peter Macdissi, Fuman Dar, Petr Jákl, Dan Ziskie, John Fink, Joseph Edward, David Fisher, Jan Nemejovský, Winter Ave Zoli, Elin Spidlová, Magdalena Souskova, Peter Davies, Lanette Ware, Ammar Daraiseh, Jiří Šimberský, Mikuláš Křen, Eddie Yansick, Philip Buch, Steven Fisher, Miloš Kulhavý, Petr Vlasak, Dusan Hyska, P.I. Noccio, Kurt Bryant, Pavel Krátký, Frantisek Deak, Muslim Tagirov, Brad Harper, Jeff Mantel, Bill Massof, Shabazz Richardson, Joel Sugerman, Chris Best, Matthew Zolan, Dale Wyatt, Clare Britton, Peter Von Berg, Philippe Vonlanthen, Charlie Day, Shea Whigham"
John Ford Goes To War,60%  6.3,"Documental, Acción & Aventura, Guerra",56min,,Tom Thurman,(2002),", Kris Kristofferson, Peter Bogdanovich, Oliver Stone, Andrew Sarris, Leonard Maltin, F. X. Feeney"
The Other Man,4%,Drama,13min,,David Raymond,(2013),", Burn Gorman, A.J. Elez, Jason Esposito, Nell Gorman, Lucy Griffiths, Mircea Monroe"
Dick Johnson Is Dead,80%  7.4 (6k),"Documental, Drama",1h 29min,13,Kirsten Johnson,(2020),", Richard Johnson, Kirsten Johnson, Isla Sierck, Jed Sierck, Felix Torres, Viva Torres, Raymond Damazo, Michael Hilow, Michael Melton, Joanne Reiner Tucker, Ken Tucker, Laurie McEwan, Lyn Schildwachter, Julie Tilton, Ira Sachs, Boris Torres, Joyce Fogel, Lolita Hirst, Kirk Johnson, Marta Bida, Simona Vuletic, Chase DeForest, Catherine Joy Johnson, Michael Fatica, Mary Page Nance, Fredi Bernstein, Ana Hoffman, Vasthy Mompoint, Nicole Tio, Adi Gonzalez, Dexter Buell, Kevin Loreque, Morgan Green, Ahsan Ali, Samantha Everette Clowes"
My Heroes Were Cowboys,39%,Documental,23min,,Tyler Greco,(2021),", Robin Wiltshire"
The Women and the Murderer,69%  6.4 (1k),"Documental, Crimen",1h 32min,,"Patricia Tourancheau ,  Mona Achache",(2021),
Final Account,76%  7.2 (1k),Documental,1h 34min,18,Luke Holland,(2021),
The River Runner,70%  6.9 (1k),"Documental, Acción & Aventura",1h 26min,,Rush Sturges,(2021),", Scott Lindgren"
Count Me In,74%  6.8 (1k),"Música, Documental",1h 21min,,Mark Lo,(2021),", Cindy Blackman Santana, Chad Smith, Stewart Copeland, Roger Taylor, Taylor Hawkins, Nick Mason, Samantha Maloney, Jim Keltner, Topper Headon, Clem Burke, Nicko McBrain, Ian Paice, Emily Dolan Davies, Abraham Laboriel Jr., Stephen Perkins"
Misha and the Wolves,75%  6.7 (2k),"Documental, Drama",1h 30min,,Sam Hobkinson,(2021),", Misha Defonseca"
Pray Away,74%  6.5 (3k),Documental,1h 41min,16,Kristine Stolakis,(2021),", Julie Rodgers, Randy Thomas, Yvette Cantu Schneider, John Paulk, Jeffrey McCall"
Fantastic Fungi,80%  7.4 (9k),Documental,1h 21min,12,Louie Schwartzberg,(2019),", Brie Larson, Paul Stamets, Michael Pollan, Roland Griffiths, Andrew Weil, Mary P. Cosmiano"
Lift Like a Girl,70%  7.8,Documental,1h 33min,,Mayye Zayed,(2021),", Captain Ramadan, Nahla Ramadan, Asmaa ""Zebiba"" Ramadan"
This Changes Everything,69%  6.4,Documental,1h 29min,16,Avi Lewis,(2015),", Naomi Klein, Crystal Lameman, Alexis Bonogofsky, Mike Scott, Vanessa Braided Hair, Henry Red Cloud, Mary Christianou, Sunita Narain, Aningi Jyothi, Chee Yoke Ling, Li Bo, Lliam Hildebrand, Nathan Myrhrvold, David Collyer, Joseph Bast"
Audible,67%  5.3,Documental,39min,,Matthew Ogens,(2021),", Amaree McKenstry-Hall"
Sisters on Track,71%  6.0,"Documental, Deporte",1h 36min,7,Tone Grøttjord-Glenne,(2021),", Rainn Sheppard, Tai Sheppard, Brooke Sheppard"
The Reason I Jump,77%  7.4,"Documental, Drama",1h 22min,,Jerry Rothwell,(2021),", Jordan O'Donegan, David Mitchell, Donna Budway, Emma Budway, Jeremy Dear, Joss Dear, Aarti Khurana, Amrit Khurana, Stevie Lee, Benjamin McGann, Bertra McGann, Jestina Penn-Timity, Mary Penn-Timity, Ronald Penn-Timity, Elizabeth Vosseller, Jim Fujiwara"
Picture a Scientist,40%,Documental,1h 37min,,"Sharon Shattuck ,  Ian Cheney",(2020),", Mahzarin Banaji, Raychelle Burks, Nancy Hopkins, Jane Willenbring"
Trese After Dark,33%,Documental,36min,,,(2021),", Atom Araullo, Yvette Tan, Liza Soberano, Shay Mitchell, Jay Oliva, Tanya Yuson, Mihk Vergara, Zig Marasigan, Budjette Tan, Kajo Baldisimo"
Hating Peter Tatchell,77%  7.6,Documental,1h 31min,,Christopher Amos,(2021),", Peter Tatchell, Ian McKellen, Stephen Fry, Tom Robinson, Angela Mason, Chris Smith, George Carey, Elton John"
Free to Play,79%  7.6 (13k),"Documental, Acción & Aventura",1h 15min,,Valve Company,(2021),", Benedict Lim, Danil Ishutin, Clinton Loomis"
Why Did You Kill Me?,65%  5.6 (4k),"Documental, Crimen",1h 23min,12,Fredrick Munk,(2021),", Belinda Lane"
Shiva VS Autobots,4%,,1h 19min,,Suhas Kadav,(2018),
Coded Bias,76%  6.7 (2k),Documental,1h 26min,,Shalini Kantayya,(2020),", Joy Buolamwini, Cathy O'Neil, Meredith Broussard, Silkie Carlo, Virginia Eubanks, Ravi Naik, Safiya Umoja Noble, Zeynep Tufekci"
Ibrahim a Fate to Define,52%  7.5,Documental,1h 15min,,Lina Al Abed,(2019),
Marked,5%,Documental,20min,,Nadine Ibrahim,(2019),
Seaspiracy,86%  8.1 (31k),Documental,1h 29min,16,Ali Tabrizi,(2021),", Ali Tabrizi, Sylvia Earle, Richard O'Barry, Paul de Gelder, Lucy Tabrizi, Jonathan Balcombe, George Monbiot, Michael Klaper"
The Most Unknown,71%  6.6 (2k),Documental,1h 32min,,Ian Cheney,(2018),
Canvas,38%  6.8,"Misterio & Suspense, Drama",30min,,,(2009),
If Anything Happens I Love You,45%,"Drama, Animación",12min,12,"Michael Govier ,  Will McCormack",(2020),
We Are All For The Fatherland,62%  6.4,Documental,1h 14min,,Maroun Bagdadi,(2020),
Secrets of the Saqqara Tomb,80%  7.2 (6k),"Documental, Historia",1h 53min,13,James Tovell,(2020),", Salima Ikram"
Bending the Arc,86%  8.1,Documental,1h 42min,,"Kief Davidson ,  Pedro Kos",(2017),", Paul Farmer, Ophelia Dahl, Jim Yong Kim"
Rooting for Roona,43%,Documental,40min,,"Akshay Shankar ,  Pavitra Chalam",(2020),
Human Nature,80%  7.7 (1k),"Documental, Misterio & Suspense",1h 34min,,Adam Bolt,(2019),", David Baltimore, George Church, Jennifer Doudna, Rodolphe Barrangou, Antonio Regalado"
Bully,74%  6.9 (38k),"Drama, Crimen",1h 47min,18,Larry Clark,(2001),", Brad Renfro, Nick Stahl, Rachel Miner, Michael Pitt, Daniel Franzese, Bijou Phillips, Leo Fitzpatrick, Kelli Garner, Alan Lilly, Jessica Sutta, Nathalie Paulding, Olivia Burnette, Deborah Smith Ford, Irene B. Colletti, Marc Pearson, Steve Raulerson, Judy Clayton, Ed Amatrudo"
A Love Song for Latasha,41%,Documental,18min,,Sophia Nahli Allison,(2019),", Brittany Hudson"
My Octopus Teacher,87%  8.1 (56k),Documental,1h 25min,,"Philippa Ehrlich ,  James Reed",(2020),", Craig Foster, Tom Foster"
Rising Phoenix,88%  8.1 (1k),"Documental, Deporte",1h 45min,7,"Ian Bonhôte ,  Peter Ettedgui",(2020),", Bebe Vio, Tatyana McFadden, Jonnie Peacock, Jean-Babtiste Alaize, Prince Harry, Ellie Cole, Philippa Thomas, Eva Loeffler, Cui Zhe, Andrew Parsons, Xavier Gonzalez, Matt Stutzman, Ntando Mahlangu"
John Was Trying to Contact Aliens,38%,Documental,16min,,Matthew Killip,(2020),", John Shepherd"
The Speed Cubers,44%,Documental,40min,,Sue Kim,(2020),", Max Park, Feliks Zemdegs"
Father Soldier Son,73%  7.3,"Documental, Guerra",1h 39min,16,"Leslye Davis ,  Catrin Einhorn",(2020),", Brian Eisch, Isaac Eisch, Joey Eisch, Roxanne Gregory"
The Claudia Kishi Club,28%,Documental,17min,,Sue Ding,(2020),", Naia Cucukov, CB Lee, Yumi Sakagawa, Sarah Kuhn, Phil Yu"
Disclosure,69%  6.1 (51k),"Misterio & Suspense, Drama",2h 3min,18,Barry Levinson,(1994),", Michael Douglas, Demi Moore, Donald Sutherland, Dylan Baker, Jacqueline Kim, Roma Maffia, Caroline Goodall, Rosemary Forsyth, Dennis Miller, Suzie Plakson, Nicholas Sadler, Donal Logue, Anneliza Scott, Rohana Razali, Anne Flanagan, Kate Williamson, Farrah Forke, Marie Rowe, Melanie Henderson, Lynn Tufeld, Nancy Yee, Darina Chylik, Lynne Killmeyer, Linda McCullough, Faryn Einhorn, Trevor Einhorn, Allan Rich, Michael Laskin, Edward Power, David Drew Gallagher, Wayne Duvall, Bernard Hocke, Joe Urla, Michael Chieffo"
Spelling the Dream,75%  6.9,Documental,1h 22min,,Sam Rega,(2020),", Srinivas Ayyagari, Jacques Bailly, Valerie Browning, Ratnam Chitturi, Shourav Dasari, Pawan Dhingra, Ashrita Gandhari, Sanjay Gupta"
I Am Divine,81%  7.5 (2k),Documental,1h 30min,,Jeffrey Schwarz,(2014),", Divine, John Waters, Ricki Lake, Lisa Jane Persky, Bruce Vilanch, Mink Stole, John C. Epperson, David DeCoteau, Tab Hunter, Edith Massey, Helen Hanft, Holly Woodlawn, Mary Vivian Pearce, David Lochary, Susan Lowe, Dolores DeLuce, Joshua Grannell, Jackie Beat, David DeCoteau, Lady Bear, Tammie Brown, Allan Glaser, Lainie Kazan"
A Secret Love,82%  7.8 (4k),"Documental, Drama",1h 23min,7,Chris Bolan,(2020),", Terry Donahue, Pat Henschel, Diana Bolan, Kim Donahue, Tammy Donahue, Jack Xagas, John Byrd, Yvonne Zipter, Marge Summit, Tracy Baim, Jeff Samburg"
Circus of Books,77%  7.1 (4k),"Documental, Historia",1h 32min,,Rachel Mason,(2020),", Rachel Mason, Josh Mason, Larry Flynt, Jeff Stryker, Alaska Thunderfuck, Phil Tarley, John Weston, David Gregory, Dorian Wood"
LA Originals,77%  7.2 (1k),Documental,1h 32min,,Estevan Oriol,(2020),", Estevan Oriol, Mister Cartoon, Snoop Dogg, Eminem, Mark Hoppus, Travis Barker, Terry Crews, Kobe Bryant, 50 Cent, Clifton Collins Jr., David Choe"
Sol Levante,32%,Ciencia ficción,4min,,Akira Saitoh,(2020),
Mighty Raju Rio Calling,36%  5.3,Animación,1h 39min,,"Rajiv Chilaka ,  Anirban Majumder",(2014),", Kajol"
Making Unorthodox,44%,Documental,21min,,Marlene Melchior,(2020),
Untamed Romania,91%  8.4 (1k),Documental,1h 32min,7,Thomas Barton-Humphreys,(2018),", Victor Rebengiuc, Mark Strong, Irina Rimes"
After the Raid,33%,Documental,25min,,Rodrigo Reyes,(2019),
Iron Fists and Kung-Fu Kicks,74%  6.6 (1k),"Documental, Historia",1h 48min,,Serge Ou,(2019),", Alan Hofmanis, Amy Johnston, André E. Morgan, Billy Blanks, Brian Trenchard-Smith, Charlie Ahearn, Cheng Pei-pei, Chin Siu-ho, Chris Poggiali, Christopher Doyle, Colin Geddes, Cynthia Rothrock, Danny Chan Kwok-kwan, Danny Philippou, Diana Lee Inosanto, Don Wilson, Eric Jacobus, Fab 5 Freddy, Frank Djeng, Geoffrey Stitt, Grady Hendrix, Jacky Heung, Jade Leung, Jeff Imada, Jessica Henwick, Joe Cheung Tung-cho, JuJu Chan, Ken Swift, Lo Meng, Marco Joachim, Matthew Mallinson, Matthew Polly, Michael Jai White, Mike Leeder, Philip Ng, Ric Meyers, Richard Norton, Ridley Tsui Bo-wah, Robert Samuels, Ron Van Clief, Ross Boyask, Sammo Hung, Scott Adkins, Sébastien Foucan, Soi Cheang, Terry Levene, Tim Kwok, Warrington Hudlin, Wilson Yip, Bruce Lee, Chuck Norris, David Carradine, Gareth Evans, Jackie Chan, Jimmy Wang Yu, Keanu Reeves, Margaret Thatcher, Michelle Yeoh, Nabwana IGG, Run Run Shaw, Yuen Woo-ping"
Fire in Paradise,38%,Documental,39min,,"Zackary Canepari ,  Drea Cooper",(2019),
A 3 Minute Hug,37%,Documental,28min,,Everardo González,(2018),
It Takes a Lunatic,66%  6.6,"Documental, Drama",2h 6min,,Billy Lyons,(2019),", Wynn Handman, Richard Gere, Alec Baldwin, Lauren Graham, James Caan, Aasif Mandvi, André Bishop, Michael Douglas, Susan Lucci, Eric Bogosian, John Leguizamo, Chris Cooper, Joel Grey, Marianne Leone Cooper, Frank Langella, Bill Irwin, Randall Duk Kim"
Tell Me Who I Am,82%  7.6 (15k),"Drama, Misterio & Suspense, Documental",1h 25min,16,Ed Perkins,(2019),", Alex Lewis, Marcus Lewis, Andrew Caley, Thomas Mulhurn, Luke Mulhurn, Evan Milton, Laura Obiols"
Ghosts of Sugar Land,34%,Documental,21min,,Bassam Tariq,(2019),", Kc Okoro"
League of Legends Origins,74%  6.5 (1k),Documental,1h 17min,,"Leslie Iwerks ,  Suki Medencevic",(2019),
Birders,36%,Documental,37min,,Otilia Portillo Padua,(2019),", Esteban Berrones, Chris Birchfield, Mark Conway, Juana Dapa, Richard Galindo"
Evelyn,65%  5.8,"Drama, Misterio & Suspense, Europeas",1h 30min,,Isabel de Ocampo,(2012),", Cindy Díaz, Agnes Kiraly, Guadalupe Lancho, Pilar Ordóñez, Ari Saavedra, Javier Sanz, Sveta Zhukovska, Adolfo Fernández"
Elena,79%  7.3 (14k),"Drama, Misterio & Suspense, Crimen, Europeas",1h 49min,12,Andrey Zvyagintsev,(2011),", Nadezhda Markina, Aleksey Rozin, Andrey Smirnov, Elena Lyadova, Yaroslav Zhalnin, Aleksey Maslodudov, Yuriy Borisov, Ivan Mulin, Oksana Semenova, Igor Ogurtsov, Vasily Michkov, Ekaterina Tarkovskaya, Nikita Slepchenkov, Василий Прокопьев, Dmitry Pavlenko, Anastasiya Sapozhnikova, Evgeniya Shevchenko, Anna Gulyarenko, Aleksandr Slastin, Dilyara Aukhadieva, Ivan Dobronravov, Larisa Khalafova, Vasily Zotov, Angela Dmitrieva, Dana Agisheva, Olga Lapshina, Yana Lvova, Lyudmila Alexeyeva, Aleksandr Kazakov"
American Factory,79%  7.4 (22k),Documental,1h 50min,,"Steven Bognar ,  Julia Reichert",(2019),", Junming 'Jimmy' Wang, Sherrod Brown, Dave Burrows, John Gauthier, Rob Haerr, Cynthia Harper, Wong He, Jill Lamantia, Jeff Daochuan Liu, Shawnea Rosser, Rebecca Ruan-O'Shaughnessy"
Screwball,72%  7.2 (1k),"Documental, Historia",1h 45min,,Billy Corben,(2019),", Bryan Blanco, Frankie Diaz, Jonathan Blanco, Jake Alexander Martin, Ian Mackles, Blake McCall, Jake Stephens, Samuel Kai Taylor, Nicholas Ryan Hernandez, Armando Bernal IV, Davion Figaro, Jason Brockmann, Brian Sanz, David Bolinger, Andrew Dean Koch, Jordan Clark, Niko Koch, Martín Fajardo, Dylan Runge, Daniel Font-Wilets, Jay Hendrix, Blake McLennan"
The Milk System,73%  7.0,"Documental, Europeas",1h 30min,,Andreas Pichler,(2017),
Cristina,45%,Drama,40min,,Michèle Ohayon,(2016),", Cristina Weigmann"
The Edge of Democracy,81%  7.3 (15k),"Documental, Historia",2h 1min,,Petra Costa,(2019),", Dilma Rousseff, Luiz Inácio Lula da Silva, Michel Temer, Eduardo Cunha, Jair Bolsonaro, Sérgio Moro, Paulo Maluf, Jean Wyllys, Aécio Neves, Gilberto Carvalho, Petra Costa, Barack Obama, Queen Elizabeth II of the United Kingdom, Nelson Mandela, Li An, Elena Andrade"
Life Overtakes Me,63%  5.0,Documental,39min,,"Kristine Samuelson ,  John Haptas",(2019),", Henry Ascher, Nadja Hatem, Mikael Billing, Karl Sallin, Elizabeth Hultcrantz, Gellert Tamas, Anne-Liis von Knorring"
After Maria,31%,Documental,36min,,Nadia Hallgren,(2019),", Glenda Martes"
A Tale of Two Kitchens,70%  6.5,Documental,29min,,Trisha Ziff,(2019),", Gabriela Cámara"
Weed the People,81%  7.3,Documental,1h 38min,,Abby Epstein,(2018),", Mara Gordon, Tracy Ryan, Chico Ryder, Angela J. Smith"
Last Breath,82%  7.7 (6k),"Documental, Europeas",1h 25min,,"Alex Parkinson ,  Richard Da Costa",(2019),", Duncan Allcock, Kjetil Ove Alvestad, Stuart Anderson, Glenn Brunskill, Michal Cichorski, Filippo De Filippi, Craig Frederick"
All In My Family,37%,Documental,39min,,Hao Wu,(2019),", Hao Wu"
Grass Is Greener,74%  7.1 (1k),Documental,1h 37min,,Fab 5 Freddy,(2019),", Snoop Dogg, B-Real, Damian Marley, Killer Mike, Chuck D, Darryl McDaniels, Doug E. Fresh"
Generation Iron 3,68%  5.9 (3k),Documental,1h 15min,,Vlad Yudin,(2019),", Kai Greene, Steve Reeves, Rich Gaspari, Jay Cutler, Dorian Yates"
The Legend of Cocaine Island,70%  6.3 (3k),Documental,1h 27min,13,Theo Love,(2019),", Rodney Hyden, Andy Culpepper, Emily Hyden, Jamie Hyden, Danny Pardo, Bob Willey, Bo Butterworth, Eduardo Oliveria"
Weapon of Choice,55%  4.9,"Documental, Europeas",1h 30min,,Fritz Ofner,(2018),
Studio 54,64%  5.8 (32k),"Drama, Música",1h 46min,APTA,Mark Christopher,(1998),", Ryan Phillippe, Salma Hayek, Neve Campbell, Mike Myers, Sela Ward, Breckin Meyer, Sherry Stringfield, Ellen Albertini Dow, Cameron Mathison, Noam Jenkins, Jay Goede, Patrick Taylor, Heather Matarazzo, Skipp Sudduth, Aemilia Robinson, Daniel Lapaine, Erika Alexander, Thelma Houston, Mary Griffin, Donald Carrier, Domenick Lombardozzi, Mark Ruffalo, Robert Bauer, Bruno Miguel, Jason Andrews, Laura Catalano, Kohl Sudduth, Lorri Bagley, Lauren Hutton, James Binkley, Arthur J. Nascarella, John Hines, Louis Negin, Lena Vajakas, Barbara Radecki, Sean Sullivan, Ron Jeremy, Vieslav Krystyan, Niki Holt, David Blacker, Bruce MacVittie, Emmanuel Mark, Kabriel Lilly, Michael York, Morgan Freeman, Lina Giornofelice, Elio Fiorucci, Drake Thorens, Justin Tensen, Jason Fruitman, Jordan Paige, Georgina Kess, Mario Bosco, Coati Mundi, Victor Sutherland, Janine Longley, Michael T. Henderson, Chris Ingram, Sheryl Crow, Georgina Grenville, Cindy Crawford, Sophie Rousseau, Victor Browne, Heidi Klum, Donald Trump, Cecilie Thomsen, Ling, Frederique van der Wal, Veronica Webb, Michel van der Wal, Art Garfunkel, Peter Bogdanovich, Beverly Johnson, John Johnson, Bruce Jay Friedman, Andrea Boccaletti, Lorna Luft, Valerie Perrine, Ultra Naté, Amber, Jocelyn Enriquez, Michael Pitt"
Behind the Curve,70%  6.5 (10k),Documental,1h 36min,,,(2018),", Mark K. Sargent, Jeran Campanella, Robbie Davidson, Hannalore Gerling-Dunsmore, Lamar Glover, Stephen Hagberg, Brian Hickey, Scott Kelly, Jimmy Kimmel, Bob Knodel, Darryle Marble, Spiros Michalakis, Bill Nye, Joe Pierre, Eva Pilgrim, Chris Pontius, Math Powerland, Odd Reality, Patricia Steere, Per Espen Stoknes, Allen Jones, Nathan Thompson, Marcus Wiley, Larry Wilmore"
14 Minutes from Earth,61%  5.7,Documental,1h 26min,,"Jerry Kolber ,  Adam 'Tex' Davis ,  Trey Nelson ,  Erich Sturm",(2016),
Polar,70%  6.3 (91k),"Acción & Aventura, Crimen, Drama, Misterio & Suspense, Europeas",1h 58min,18,Jonas Åkerlund,(2019),", Mads Mikkelsen, Vanessa Hudgens, Katheryn Winnick, Fei Ren, Ruby O. Fee, Matt Lucas, Robert Maillet, Anthony Grant, Josh Cruddas, Lovina Yavari, Ayisha Issa, Pedro Miguel Arce, Anastasia Marinina, Richard Dreyfuss, Inga Cadranel, Jill Frappier, Nia Roam, Julian Richings, Johnny Knoxville, Roman Lebeau, Dmitry Chepovetsky, Sofia Grossi, Marsha Mason, Ken Hall, Calwyn Shurgold, Emily Debowski, Jamillah Ross, Michael Ayres, Maria Nash, Moon Mason, Oksana Zilinskas, Callum Shoniker, Ava Augustin, Connor Laidman, Robert Clarke, Craig Burnatowski, Joe Delfin, Yana Gold, Drew Catherine, Brandy Dawley, Sima Fisher, Pastel Supernova, Carrie Eklund, Lee Villeneuve, Neven Pajkic, Andrei Kovski, Nobuya Shimamoto, Matt Birman"
Abducted in Plain Sight,73%  6.8 (18k),"Documental, Crimen, Drama, Misterio & Suspense",1h 31min,13,Skye Borgman,(2019),", Jan Broberg, Mary Ann Broberg, Bob Broberg, Susan Broberg, Karen Campbell, Joe Berchtold, Cor Hoffman, Annette E. Belnap, Danielle Holjeson, Sinclair DuMont, Emily Kincaid, Devin Ordoyne, Sara Caldart Olson, Bella Onori, Lila Onori, Lainee Rhodes"
The Birth Reborn 3,44%,Documental,1h 12min,,Eduardo Chauvet,(2018),", Debra Pascali-Bonaro, Mayra Calvette, Anke Riedel, Caroline Ferreira, Serginho Groisman, Fernanda Molina, Mariana Bahia, Ana Previtalli, Lígia Moreiras Sena, Jorge Kuhn, Cornelia Enning, Leila Katz"
Sad Hill Unearthed,78%  7.4 (1k),"Documental, Europeas",1h 26min,,Guillermo de Oliveira,(2018),", Álex de la Iglesia, Carlo Leva, Christopher Frayling, Clint Eastwood, Ennio Morricone, Eugenio Alabiso, James Hetfield, Joe Dante, Peter J. Hanley, Sergio Salvati, Sergio Leone, Joseba del Valle, David Alba Romero, Sergio García Hernández, Diego Montero, Stephen Leigh, Daniel Jeffery, Will Ross, Devan Scott"
Shirkers,80%  7.4 (5k),Documental,1h 36min,,Sandi Tan,(2018),", Sandi Tan, Sophia Siddique Harvey, Georges Cardona, Philip Cheah, Jasmine Ng Kin Kia"
The Meaning of Monty Python,42%,Documental,1h 0min,,Albert Sharpe,(2013),", John Cleese, Terry Gilliam, Eric Idle, Terry Jones, Michael Palin"
Two Catalonias,70%  6.4,"Documental, Historia, Europeas",1h 56min,13,"Gerardo Olivares ,  Álvaro Longoria",(2018),", Carles Puigdemont, Mariano Rajoy, Inés Arrimadas, Andrea Levy Soler, Iñaki Gabilondo, Ramón Tamames"
City of Joy,80%  7.5,"Documental, Crimen, Drama, Misterio & Suspense, Guerra",1h 14min,,Madeleine Gavin,(2018),", Christine Schuler-Deschryver, Denis Mukwege Mukengere, Eve Ensler, Jane Mukunilwa"
The Bleeding Edge,77%  7.6 (2k),Documental,1h 39min,,Kirby Dick,(2018),", Robert Bridges, Angie Firmalino, Rita Redberg, Stephen Tower"
What We Started,76%  7.0 (2k),"Música, Documental",1h 36min,16,"Cyrus Saidi ,  Bert Marcus",(2018),", Martin Garrix, Carl Cox, David Guetta, Usher, Ed Sheeran, Tiësto, Pete Tong"
Recovery Boys,71%  6.7,Documental,1h 30min,,Elaine McMillion Sheldon,(2018),
Food on the Go,65%  6.2,"Documental, Europeas",1h 6min,,Mercedes Cordova,(2017),", Mercedes Cordova"
